"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","binary_neuron"
"475",3.1198366667,-52.833337148,3.118015,42.3020858765,77.9583333333,3.1175883333,-39.7395846049,3.1422283333,-53.7395858765,3.6096472479,95.1354230245,"Excitatory"
"481",3.1972133333,-46.8229179382,3.1938616667,32.6979166667,79.8333333333,3.1933333333,-37.8020846049,3.237195,-54.5625012716,3.3968326686,79.5208346049,"Excitatory"
"493",1.67528,-43.4166692098,1.67332,33.3229179382,41.7916666667,1.6727333333,-34.0000012716,1.7034066667,-50.958337148,2.7131035335,76.739587148,"Inhibitory"
"495",10.0622966667,-57.239587148,10.0615316667,18.0729166667,251.500005086,10.06118,-31.4270846049,10.0623383333,-57.3333358765,1.1720580604,75.3125038147,"Inhibitory"
"499",6.718705,-54.2708358765,6.7175366667,45.0520858765,167.958333333,6.7171583333,-44.6770846049,6.751885,-54.9479204814,2.3929162654,99.322921753,"Excitatory"
"500",3.4797466667,-54.0208358765,3.4760116667,34.0729166667,86.9166666667,3.4754933333,-37.1979192098,3.5050716667,-60.5833358765,3.7531006359,88.0937525432,"Excitatory"
"506",8.2126966667,-50.5104166667,8.20806,28.1145852407,205.166666667,8.2076316667,-34.2500012716,8.21895,-53.3958346049,4.1177105731,78.6250019074,"Inhibitory"
"510",8.6122,-48.8645858765,8.6053183333,27.3750006358,215.125,8.60464,-33.7187512716,8.6370966667,-54.6041679382,3.412593841,76.2395865123,"Excitatory"
"521",4.4514283333,-47.2812525431,4.4489933333,44.1666666667,111.20833842,4.448595,-37.7500012716,4.49345,-56.3958358765,4.0600973326,91.4479192098,"Excitatory"
"523",7.0856483333,-52.1145846049,7.0800266667,30.5625012716,177,7.079615,-32.3541692098,7.09407,-55.8229204814,3.5290671787,82.6770858765,"Inhibitory"
"531",0.9514266667,-50.4166666667,0.9498533333,41.7187512716,23.75,0.94936,-37.8750025431,0.9678466667,-52.6875025431,3.0436094276,92.1354179383,"Excitatory"
"533",2.9728,-52.0833333333,2.9696133333,42.9687512716,74.2083333333,2.9690466667,-46.0208358765,3.01156,-56.9687525431,4.1051960948,95.0520846049,"Excitatory"
"541",4.618095,-46.4270858765,4.61499,31.9687525431,115.374994914,4.6145516667,-36.3750025431,4.6572083333,-56.1666692098,3.4206157545,78.3958384196,"Excitatory"
"542",7.6439466667,-57.3020846049,7.6429,34.0937538147,191.083333333,7.6425133333,-41.1979192098,7.64408,-57.395837148,2.0038754016,91.3958384196,"Inhibitory"
"543",9.90467,-61.9479166667,9.90386,19.5208346049,247.583333333,9.9035283333,-34.75,9.9046933333,-62.0937512716,1.2340279244,81.4687512716,"Inhibitory"
"544",2.88912,-49.6250012716,2.8873433333,46.9791704814,72.1666666667,2.886955,-35.9791666667,2.91586,-55.8541666667,3.7619572503,96.604171753,"Excitatory"
"557",0.8645266667,-51.2604192098,0.8607466667,34.0000012716,21.5416666667,0.8601533333,-40.0833346049,0.89994,-57.145837148,3.7025254771,85.2604204814,"Excitatory"
"559",2.0274075,-50.2656269073,2.0256325,31.609377861,50.625,2.0252275,-36.4843788147,2.056995,-56.4375038147,3.0473521384,81.8750047683,"Excitatory"
"563",3.4219716667,-52.614587148,3.4201716667,35.53125,85.5416666667,3.4197833333,-39.2395858765,3.4443216667,-58.9791704814,3.0492820913,88.145837148,"Excitatory"
"567",2.2093375,-60.171875,2.20834,40.7500038147,55.1874980927,2.208005,-44.78125,2.209465,-60.4375,2.0491810296,100.921878815,"Inhibitory"
"568",6.5801566667,-50.7708358765,6.57895,27.5104173024,164.458333333,6.57842,-30.1979179382,6.580185,-50.8125038147,1.4223086865,78.2812531789,"Inhibitory"
"588",7.64674,-54.875,7.64602,18.8645852407,191.125,7.6456766667,-34.6354179382,7.646765,-54.9687512716,1.2345749286,73.7395852407,"Inhibitory"
"599",5.06373,-45.5208346049,5.0615383333,31.4166679382,126.499994914,5.0609966667,-32.0000038147,5.0912466667,-49.1562538147,2.5448621035,76.9375025431,"Excitatory"
"605",2.0450375,-48.578125,2.0424475,28.3906269073,51.0625,2.0419725,-38.2968769073,2.0783025,-54.59375,2.7653321125,76.9687519073,"Excitatory"
"612",3.2451333333,-46.5104166667,3.2426866667,48.4479179382,81.0833333333,3.2423283333,-34.9166679382,3.281485,-55.2500038147,4.7020426441,94.9583346049,"Excitatory"
"613",5.01288,-49.6562512716,5.0117066667,15.6562503179,125.291664123,5.01126,-30.1354179382,5.0132866667,-49.8437525431,1.2887943341,65.3125015895,"Inhibitory"
"626",5.02271,-49.9166666667,5.0205316667,34.9479166667,125.500002543,5.01997,-34.4375,5.054515,-54.1875012716,2.310317396,84.8645833334,"Excitatory"
"636",3.847715,-57.328125,3.84636,19.8125009537,96.1875,3.8459075,-29.625,3.8479275,-57.5000019073,1.4652770928,77.1406259537,"Inhibitory"
"640",2.6347133333,-63.8229179382,2.6339133333,35.625,65.7916666667,2.63354,-36.7604192098,2.6347583333,-63.9375,1.3401802686,99.4479179382,"Inhibitory"
"645",15.14003,-58.0416692098,15.13938,16.1354179382,378.499989827,15.139065,-34.8541692098,15.140055,-58.1562512716,1.1446471503,74.177087148,"Inhibitory"
"662",7.8438983333,-53.6041704814,7.8426983333,11.364584287,196.041666667,7.84226,-29.7395852407,7.844115,-53.739587148,1.257484584,64.9687547684,"Inhibitory"
"665",3.4914575,-50.3750038147,3.488445,47.3125038147,87.1875,3.487975,-32.578125,3.50731,-54.7031269073,4.2232945368,97.6875076294,"Excitatory"
"666",0.7053666667,-52.2916692098,0.70304,45.2291679382,17.5416666667,0.70254,-43.0729192098,0.7259,-53.8854204814,3.6467127704,97.520837148,"Excitatory"
"670",2.7501716667,-43.4270858765,2.7462166667,39.8750012716,68.6666666667,2.7457066667,-32.0104173024,2.79726,-51.9166692098,4.2233691252,83.3020871481,"Excitatory"
"671",3.2682733333,-55.5208346049,3.2670666667,41.3958358765,81.625,3.2666466667,-42.0000038147,3.2683266667,-55.5833346049,2.3468471837,96.9166704814,"Inhibitory"
"678",3.5266316667,-61.6354179382,3.5250133333,40.5104192098,88.125,3.52453,-46.4895846049,3.5269716667,-61.8958346049,2.5858218164,102.145837148,"Excitatory"
"679",4.785325,-45.1979192098,4.7831533333,38.6979179382,119.583323161,4.7827916667,-35.8958346049,4.81725,-55.6562538147,3.171764043,83.895837148,"Excitatory"
"682",3.9587083333,-49.0104179382,3.9564233333,23.4479166667,98.9166666667,3.955825,-31.5312506358,3.9615533333,-49.4166679382,2.0358579796,72.4583346049,"Inhibitory"
"688",2.99089,-47.5156269073,2.9891875,46.0781269073,74.6875,2.988765,-35.2343769073,3.0068125,-51.9531288147,3.1578523741,93.5937538146,"Excitatory"
"690",4.7123666667,-49.0937512716,4.7106466667,35.4791679382,117.749997457,4.71004,-32.9479192098,4.71266,-49.3125,2.0443847303,84.5729192098,"Excitatory"
"692",15.079075,-52.3229204814,15.0779333333,5.0520833333,376.958323161,15.07748,-27.7708339691,15.0793183333,-52.5416692098,1.0586477038,57.3750038147,"Inhibitory"
"693",5.239855,-53.1666692098,5.2383316667,49.1250025431,130.95833079,5.2379833333,-38.8958346049,5.2707633333,-55.2812538147,4.3298103265,102.291671753,"Excitatory"
"696",1.1628675,-54.2500038147,1.1615825,27.7812509537,29,1.161025,-46.7500019073,1.1964,-55.1406269073,2.0264474197,82.0312547684,"Inhibitory"
"717",3.3849766667,-41.8750025431,3.382915,46.3854204814,84.5833333333,3.3824383333,-29.2083346049,3.4307216667,-52.1666692098,3.3123765392,88.2604230245,"Excitatory"
"723",3.4842616667,-49.5312525431,3.48249,36.0104179382,87.0416666667,3.4820933333,-40.3333346049,3.5299566667,-55.6250025431,2.9970162449,85.5416704813,"Excitatory"
"727",14.2627816667,-56.6458346049,14.2618633333,11.34375,356.5,14.2615,-30.6145833333,14.2628483333,-56.7604179382,1.1590524643,67.9895846049,"Inhibitory"
"732",3.3085483333,-41.2708358765,3.3071233333,41.8333346049,82.625,3.30671,-31.8958352407,3.3541266667,-51.0937525431,2.7333353755,83.1041704814,"Excitatory"
"736",2.37264,-49.4270846049,2.3706066667,39.1458346049,59.2083333333,2.3701333333,-33.4583346049,2.3987466667,-55.6562512716,3.3559592614,88.5729192098,"Excitatory"
"758",6.7726983333,-48.0104179382,6.7709066667,43.4583333333,169.25,6.7705,-33.1562525431,6.78942,-54.0000025431,3.0896951838,91.4687512715,"Excitatory"
"778",6.4557016667,-45.1875012716,6.45414,48.2812525431,161.333333333,6.4538083333,-36.7916666667,6.5127383333,-52.4895846049,4.2425868579,93.4687538147,"Excitatory"
"779",10.5479,-46.5625038147,10.5464333333,22.6979173024,263.625,10.5457933333,-31.8020852407,10.5479333333,-46.5833358765,1.7345041749,69.2604211171,"Inhibitory"
"785",1.79735,-45.4270858765,1.7957016667,23.4791666667,44.8750012716,1.7951633333,-34.8750038147,1.7973983333,-45.5312525431,2.350335595,68.9062525432,"Inhibitory"
"791",6.654715,-52.9895858765,6.6533583333,6.2187504768,166.291666667,6.6529166667,-26.0520852407,6.6556216667,-53.4895858765,1.1066169869,59.2083363533,"Inhibitory"
"793",3.0091733333,-51.0520858765,3.0073283333,47.8541692098,75.2083307902,3.006995,-38.7812525431,3.0446716667,-59.8958358765,4.3307576358,98.9062550863,"Excitatory"
"796",1.8333766667,-51.9895858765,1.8313116667,42.8958346049,45.7499987284,1.8308916667,-38.9687525431,1.8681333333,-57.3854192098,3.5176844004,94.8854204814,"Excitatory"
"801",1.23154,-54.2187538147,1.22914,26.5000019073,30.75,1.22862,-38.2500038147,1.23328,-55.03125,2.828300996,80.718755722,"Inhibitory"
"806",2.3338983333,-53.7500038147,2.3328366667,20.7291673024,58.3333333333,2.332475,-41.4062538147,2.3385316667,-53.9375012716,1.8379418725,74.4791711171,"Inhibitory"
"825",3.3436216667,-54.7395858765,3.3419383333,43.2604192098,83.5,3.3415366667,-34.7916666667,3.3612533333,-57.3437512716,3.2178108599,98.0000050863,"Excitatory"
"828",3.891585,-50.4375038147,3.88893,45.84375,97.25,3.88854,-36.375,3.905565,-56.46875,3.6081792418,96.2812538147,"Excitatory"
"835",1.6131666667,-60.645837148,1.6116933333,42.9062512716,40.2083333333,1.61118,-41.4895846049,1.61326,-60.7500025431,2.2665390517,103.55208842,"Inhibitory"
"840",10.07721,-52.1770846049,10.0764583333,13.458334287,251.91666158,10.0761183333,-29.7187519073,10.0772316667,-52.3020858765,1.0818019591,65.6354188919,"Inhibitory"
"848",4.6236833333,-47.8020833333,4.6202483333,52.1041692098,115.54166921,4.6198883333,-36.2916692098,4.6697766667,-57.7604179382,4.9898331605,99.9062525431,"Excitatory"
"851",4.6887066667,-59.0208358765,4.687885,25.5937512716,117.208333333,4.6875383333,-31.135418574,4.6887766667,-59.1250012716,1.2956576997,84.6145871481,"Inhibitory"
"857",6.10058,-47.145837148,6.098565,30.6354179382,152.41666158,6.0980616667,-30.7187506358,6.1114933333,-50.6041679382,2.0287061504,77.7812550862,"Excitatory"
"860",5.4582966667,-59.7916704814,5.45727,29.9791673024,136.416666667,5.456795,-30.8020839691,5.4583733333,-59.9479192098,1.2005860138,89.7708377838,"Inhibitory"
"868",4.1624933333,-47.1458333333,4.16047,54.4687525431,104.000002543,4.160025,-38.0000012716,4.195715,-51.5104179382,4.1260827885,101.614585876,"Excitatory"
"869",2.734175,-46.2708346049,2.7320533333,50.2812538147,68.2916666667,2.7316616667,-32.6041679382,2.754555,-48.1562525431,3.9902997022,96.5520884196,"Excitatory"
"871",4.543755,-51.4375,4.54171,20.1562519073,113.5,4.5412,-36.46875,4.54502,-51.7812538147,2.3309182977,71.5937519073,"Inhibitory"
"872",4.2440783333,-45.8958333333,4.240745,36.2500025431,106.041666667,4.2403,-38.2500012716,4.310135,-56.53125,3.8463316037,82.1458358764,"Excitatory"
"876",3.1926733333,-52.3958358765,3.1906466667,37.8437512716,79.7916666667,3.19022,-34.0312512716,3.20926,-58.8750038147,3.0071412807,90.2395871481,"Excitatory"
"877",2.7702833333,-50.1041704814,2.7668666667,25.7395846049,69.1666666667,2.7663033333,-36.1875012716,2.7839483333,-55.0625025431,2.9118285076,75.8437550863,"Excitatory"
"881",2.7235233333,-47.5416704814,2.7216366667,35.6562538147,68.0416666667,2.7211366667,-38.6875025431,2.787675,-54.4166692098,2.8924134475,83.1979242961,"Excitatory"
"882",5.2831566667,-57.5729192098,5.282125,36.7083333333,132.041666667,5.281745,-42.0729179382,5.283235,-57.6979179382,1.9804836621,94.2812525431,"Inhibitory"
"883",2.27512,-53.5625038147,2.2743933333,24.1770833333,56.8333320618,2.274065,-34.7812512716,2.2838033333,-53.8437538147,1.4653361287,77.739587148,"Inhibitory"
"887",6.5634116667,-43.0208346049,6.56233,22.1458352407,164.041666667,6.5617883333,-27.53125,6.5803366667,-47.8854204814,1.5886530659,65.1666698456,"Excitatory"
"888",3.0882866667,-55.6458358765,3.08588,48.7291692098,77.1666666667,3.0853933333,-39.6666692098,3.11582,-57.2604179382,3.6744936919,104.375005086,"Inhibitory"
"889",4.805435,-53.9270846049,4.8046216667,24.5208333333,120.08333079,4.80428,-31.6145846049,4.8183116667,-55.0625012716,1.482283202,78.4479179382,"Inhibitory"
"904",15.8089266667,-50.3437538147,15.8076733333,3.2291667461,395.208343506,15.8072533333,-27.6979179382,15.8106566667,-50.9479192098,1.0488659247,53.5729205608,"Inhibitory"
"905",8.49872,-52.1875038147,8.49767,4.0625004768,212.375,8.49724,-28.46875,8.49887,-52.28125,1.0755691579,56.2500042915,"Inhibitory"
"906",5.4341433333,-42.3333358765,5.432355,31.0416666667,135.833333333,5.4319116667,-33.2604166667,5.4562716667,-52.1979179382,2.0590229177,73.3750025432,"Excitatory"
"911",10.13738,-41.96875,10.13544,16.0937519073,253.374984741,10.13446,-29.90625,32.30416,-75.625,1.3308395681,58.0625019073,"Inhibitory"
"912",1.95068,-50.2500025431,1.9495066667,29.3750019073,48.7083333333,1.9490266667,-39.0937512716,1.9507466667,-50.3541704814,1.7564811009,79.6250044504,"Inhibitory"
"914",4.19642,-48.8750012716,4.1948266667,41.2708358765,104.833333333,4.19438,-33.2708333333,4.21824,-55.7604204814,2.754781675,90.1458371481,"Excitatory"
"929",3.97063,-50.2604192098,3.9688933333,35.1979192098,99.2083333333,3.968405,-36.8854179382,3.9901483333,-54.7395858765,2.633821389,85.4583384196,"Excitatory"
"931",3.0629433333,-43.8020858765,3.0603666667,43.2604166667,76.5,3.059835,-36.2604166667,3.10704,-51.1666666667,3.8178296593,87.0625025432,"Excitatory"
"932",1.5047533333,-52.114587148,1.5028733333,42.3645846049,37.5833333333,1.5024333333,-37.6875038147,1.5209866667,-56.7187538147,3.262995793,94.4791717529,"Excitatory"
"940",3.6533183333,-48.6041679382,3.6515466667,42.5937525431,91.2916666667,3.6511366667,-35.6770846049,3.675095,-54.552087148,3.2110325622,91.1979204813,"Excitatory"
"943",3.357055,-49.5625012716,3.3539533333,39.4375012716,83.7916666667,3.3534633333,-35.8229166667,3.3945166667,-55.7187512716,3.9556167881,89.0000025432,"Excitatory"
"950",3.9335733333,-48.6979166667,3.9294016667,33.3958333333,98.2499974569,3.9289283333,-37.4791666667,3.970635,-57.6666679382,4.0699266598,82.09375,"Excitatory"
"956",4.448805,-43.4479179382,4.4465166667,36.65625,111.124997457,4.4460333333,-26.2812519073,4.4734716667,-52.1666692098,2.8161600974,80.1041679382,"Excitatory"
"957",8.13767,-53.0104192098,8.1367566667,2.3333333333,203.416666667,8.13633,-31.7604166667,8.1377233333,-53.0625025431,1.0069444955,55.3437525431,"Inhibitory"
"959",3.2999933333,-51.5520846049,3.2973333333,43.833337148,82.4166666667,3.2969066667,-44.1562538147,3.3492,-59.4062525431,4.8688714678,95.3854217529,"Excitatory"
"960",2.392525,-52.7500038147,2.39061,41.4687519073,59.7499980927,2.39016,-41.515625,2.4405375,-56.3437538147,3.2254217781,94.218755722,"Excitatory"
"964",8.849315,-61.7343769073,8.8482575,17.5312509537,221.187492371,8.84785,-26.53125,8.849345,-61.828125,1.0959920691,79.265627861,"Inhibitory"
